Text,no_of_words,no_of_words_trimmed,Sentiment
I'm on my way to miss kacy's 4th bday party at build a bear... ,63,63,1
"@ripestapple  I might not be the right person to give you advice, but all I can tell you is to live your life, but never stop believing.",136,136,1
@zomgkris I know it is. ,24,24,0
"Mii ViSioN is BLuRRy...iM goiN to Bed!!NiTe NiTe,,iHuRtin ",58,58,0
@tealou anyways - i did something good for someone else this weekend other than me and thats gotta be good for my shit karma load ,130,130,1
Cooking Lessons with Nannette ,30,30,1
"@salesstud no mind, aren't we all dealing with human needs that we want to be fulfilled ",88,88,1
PJ day today. I'm iiiilll ,26,26,1
my car broke down on main street ,33,33,0
@MindMeddlerEd  was hoping to be a fangbanger.,46,46,1
"Star Trek, The Library and The Paramount was awesome ",53,53,1
keeps coughing. My throat is killing me!! ,42,42,0
"@MarkConstable boo  although it has stopped raining, enjoy ur bbq!",66,66,0
"my pasta salad just wasn't nice.  Miffed now. But I'll be making burgers tonight, I have at least something to look forward to",126,126,1
Had a sandwich went to class now back to work and work for that money baby..lol..t.g.i.f btw  loVe IT.,102,102,1
"@garymeyerza oh shit, I've just realised there's a link to the song on my blog...sorry hun ",91,91,1
aahh working out while im at work- love my job ,47,47,1
"@taluta Aw wow, sounds amazing . My mate really loves Arcade games, I would have loved to been around when there was the Arcade craze ",134,134,1
@LeoWolfe if it gave up on either you'd be fucked. lol. sorry ur having car trouble. it makes life so depressing. ,114,114,0
"@davidkersting I was curious as to whether you were one of &quot;those&quot; Kerstings ;) I was in Nick's class, and Hubs is still bff with Josh! ",146,146,1
I had two great days off... Now back to work ,45,45,0
"@anib  It's weird not seeing it everyday. We were surrounded by mountains, but it's not the same!",97,97,1
"So, so sorry. For one thing, The site won't let me edit/ add blogs. For another looks like you will be Taylor-news-less for about 5 days ",137,137,1
@Swizec air condition? hahaha  nope. the whole computer lab where i'll be is on the sunny side. the whole day.,110,110,0
@yeahlor I am lost. Please help me find a good home. ,53,53,0
"I got bored so I slept, now I'm a little sad. ",46,46,0
@jayjaykazaz thank you now I feel bad ,38,38,0
"staff meeting, then visitation, sunburn stills hurts ",53,53,0
Edgefest today: yes  Rain today: no ,36,36,0
Here its afternoon ,19,19,1
@finalscoreB3G2 Cody's so funny lol ,36,36,1
Retweeting mahself...    (Unofficially).  Is it my imagination or does the avatar for @EcoInteractive look like me? =:.,119,119,1
"just got into manchester, i miss everyone already    i want to move to england.",79,79,0
@Lamont85 if you really want something get it you only live once ,65,65,0
@hoozilla  anything i can do to help?,37,37,0
yat i found out how 2 change it  sum randomer tried 2 nick my shoes  lol excuse me! ;),86,86,1
Urggggh everyones talking about heidi and spencer on I'm a celeb USA and I can't watch it  heidi is the only reason I watched the hills!,136,136,1
@ramblelite *hugs you tight* ,29,29,1
actually enjoyed working at the office today.  tonight - more work..while watching bones  mon - 2 interviews. yay!,114,114,1
@stationstops ugh I am so sorry that happened!!! That sucks. Pamper her tonight to ease the bad memory.  glad she wasn't hurt.,126,126,0
I hate that a text woke me up at 5:30. Off to work for the day. ,64,64,0
"@AliGraysAnatomy hmm, well maybe the footankles? yes, i promise to take pics  aw, youre very sweet (:",101,101,1
Getting ready for my graduation party ........(id much rather be at Hello Marquee or Dane Cook)  ,97,97,1
Fascination! It's just the way we feel  http://bit.ly/T2Cxn,59,59,1
today pics for the annuary!!!! ,31,31,0
My tattoo is itchy. ,20,20,0
@chadcarson Wow... I am imagining a cockroach coming out every 2 minutes or so to the point in which you can't sit down at all to write ,136,136,1
"It's official, Sackboy cuddly toys are better than pups. Niece's dog now living with my other brother as Roddy (Sackboy) is more fun ",133,133,1
let me win...  http://plurk.com/p/x55mf,39,39,1
Last chance to sleep in my own bed for awhile ,46,46,0
I GOT SICK!I dont feel good ,28,28,0
"@trentvanegas Still think it couldve been Prom. Either way, we got a couple good songs and a black Russian. A little old school snuck in. ",138,138,1
SO good  http://twitpic.com/6ahr3,33,33,1
@HappyCassie I SEE MY NAME!!!!!!  &lt;3333,42,42,1
@spitphyre  just read your comment  nice. And re-commented too!,63,63,1
@mileycyrus You're an enormously successful entertainer/singer/movie and TV star.   is not allowed.,99,99,1
@lindawoods  So sad  I still want her to come home. If she didn't see it - it might not have happened.,102,102,0
but feeling a little misplaced atm ,35,35,0
"Home again, heading to bed.   I love getting 8 hrs of sleep!!",61,61,0
@anachan a gift ,16,16,1
Good morning bunnies all over my yard! ,39,39,0
@Claire_m75 Waaah that ITV link doesn't work for me... says I can't watch it ,77,77,1
"@kibs1 no not any better, i still want to go  ",46,46,0
must stay beer-free until tomorrow afternoon ,45,45,1
"@jadeycakess bad times man, i was sick literally 20 times yesterday |: have a good time at mcfly if i don't talk to you before it ",130,130,0
@amyandwalt LOL I live by Utica Square.  small world.,53,53,1
Typically! After 4 days of great weather - the temp drops 10 degr. before 4 days of music and beer at Skive Beachparty ,119,119,1
Just had dinner and here it comes ... food coma ,48,48,1
@thisgoeshere aww thnx ,23,23,1
Awww! i guess i cld call her my niece shes my bf's but neway shes graduating kindergarten! omg they grow up fast! ,114,114,0
English revision class ,23,23,0
@oxNANCiiBBYxo i'm AWESOME! i miss u more!   u need a freAking phone NOWWW!,75,75,1
@cutiemoet i noe... bt i jus cant help it..... ,47,47,0
@KTDP It is crap ,17,17,0
@allaboutfosse: That is definitely a no bueno.  What's wrong?!,62,62,1
Gotta go bank so I can put this money into a friends account so she can make the mortgage payment... I'm a good friend I am ,124,124,0
"I'm going to sleep. I'm still sore from Friday's bootcamp and I'm looking forward to going back tmro. Good night, my tweets. ",125,125,1
"Today is going to be a looong monday - woke up at 3am with full on pounding-nauseating headache, need to be in bed asleep not at the lab ",137,137,0
I need to scream..Or cry.. I am sick of smiling!!! Yes.. Things are NOT okay.. Ugh.. I had no clue it would be this hard..  xx,126,126,0
@robinmatthewfry the beauty of mobile! ,39,39,1
"@Classlicity YAY!!! That's awesome!  Also, this cookbook is worth it's weight in gold, srsly.  Library says it's overdue   But thanks!",134,134,1
@AshleyTisdale Congratulations OMGG I KNEW IT  ,47,47,1
